                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76205,                0.47875,                0.95399,                0.79663,                0.73106,                0.75573,                0.40814,                 1.4856,                  1.103,                 1.3067,               0.000878,               0.000878,               0.000878
                     37,                0.76344,                0.46937,                0.95264,                0.83586,                0.69697,                0.76924,                0.43777,                 1.4888,                 1.0866,                 1.2946,               0.000845,               0.000845,               0.000845
                     38,                0.74785,                0.45664,                0.93964,                0.79258,                0.67045,                0.75934,                0.43113,                  1.504,                 1.1835,                 1.3148,               0.000812,               0.000812,               0.000812
                     39,                0.76702,                0.47003,                0.95145,                0.78114,                0.67597,                0.69839,                0.40794,                 1.5084,                 1.1735,                 1.3398,               0.000779,               0.000779,               0.000779
                     40,                0.74294,                0.45827,                0.94587,                0.82457,                0.65874,                0.73102,                0.40645,                 1.5601,                 1.1612,                  1.399,               0.000746,               0.000746,               0.000746
                     41,                0.75294,                0.46058,                0.94748,                0.83351,                0.67803,                0.75373,                 0.4361,                 1.4581,                 1.1297,                 1.3021,               0.000713,               0.000713,               0.000713
                     42,                0.74456,                0.45116,                0.93681,                0.80546,                0.71212,                0.74913,                 0.4174,                 1.5011,                 1.0579,                 1.3521,                0.00068,                0.00068,                0.00068
                     43,                0.74521,                 0.4505,                0.94641,                0.82982,                0.68338,                0.74916,                0.42428,                 1.4459,                 1.0751,                 1.2855,               0.000647,               0.000647,               0.000647
                     44,                0.71816,                0.43811,                0.93327,                0.83439,                 0.7197,                0.77031,                0.47359,                 1.3661,                 1.0342,                 1.2478,               0.000614,               0.000614,               0.000614
                     45,                0.72447,                0.42818,                0.93253,                0.83312,                0.70076,                0.73272,                0.44322,                 1.4361,                 1.1353,                 1.3046,               0.000581,               0.000581,               0.000581
                     46,                0.72588,                0.43028,                 0.9316,                0.81363,                 0.7197,                0.73371,                0.44354,                 1.4323,                 1.1204,                 1.2902,               0.000548,               0.000548,               0.000548
                     47,                0.70297,                0.42911,                0.92843,                0.81737,                0.70833,                0.71813,                0.43727,                 1.4441,                 1.1893,                 1.2855,               0.000515,               0.000515,               0.000515
                     48,                0.71285,                0.42673,                0.93687,                0.81307,                0.72727,                0.73125,                0.42654,                 1.4384,                 1.1492,                 1.2893,               0.000482,               0.000482,               0.000482
                     49,                0.70548,                 0.4158,                0.93431,                 0.8021,                0.68182,                0.71484,                0.45147,                 1.3508,                 1.0799,                 1.2153,               0.000449,               0.000449,               0.000449
                     50,                0.68257,                0.40996,                0.92381,                0.82029,                0.76073,                0.76584,                0.46428,                  1.399,                 1.0866,                 1.2537,               0.000416,               0.000416,               0.000416
                     51,                0.66021,                0.37777,                0.89799,                0.83231,                0.74621,                0.76338,                 0.4556,                  1.406,                 1.0398,                 1.2571,               0.000383,               0.000383,               0.000383
                     52,                0.65296,                0.36737,                 0.8965,                0.85307,                0.70374,                0.74578,                0.42363,                 1.5615,                 1.1463,                 1.3952,                0.00035,                0.00035,                0.00035
                     53,                0.64918,                 0.3642,                0.89516,                0.86149,                0.73034,                 0.7701,                0.44884,                 1.4812,                 0.9939,                 1.3221,               0.000317,               0.000317,               0.000317
                     54,                0.63691,                0.35749,                 0.8965,                0.83907,                0.69318,                0.72619,                0.43854,                 1.4581,                 1.0968,                 1.2935,               0.000284,               0.000284,               0.000284
                     55,                0.62884,                0.35327,                0.88538,                0.82896,                0.71597,                0.74155,                0.45391,                 1.4538,                 1.0393,                 1.3305,               0.000251,               0.000251,               0.000251
                     56,                0.61736,                0.34592,                0.88217,                0.82463,                 0.7303,                0.74621,                0.45802,                 1.4315,                 1.0889,                 1.3165,               0.000218,               0.000218,               0.000218
                     57,                0.61774,                0.33824,                0.88465,                0.81972,                0.72337,                 0.7448,                0.46619,                 1.4377,                 1.0997,                 1.3312,               0.000185,               0.000185,               0.000185
                     58,                0.60969,                0.33758,                0.87655,                0.82356,                0.71591,                0.73226,                 0.4547,                 1.4831,                 1.1077,                 1.3793,               0.000152,               0.000152,               0.000152
                     59,                0.61377,                 0.3362,                 0.8818,                0.79812,                 0.7197,                0.72122,                0.44461,                 1.4193,                 1.0745,                 1.3238,               0.000119,               0.000119,               0.000119
                     60,                0.60344,                0.33325,                0.87583,                0.81203,                0.71998,                0.74157,                 0.4627,                 1.3918,                 1.0428,                 1.3077,                8.6e-05,                8.6e-05,                8.6e-05
